Rank,Team,Home Games,Home Total Attendance,Home Average Attendance,Home Percentage,Road Games,Road Average,Road Percentage,Games,Average,Percentage,Year
1,Montreal,41,824308,20105,,41,16013,,82,18059,,2000
2,Detroit,41,819795,19995,,41,17889,,82,18942,,2000
3,Philadelphia,41,802595,19575,,41,17182,,82,18378,,2000
4,St. Louis,41,800319,19519,,41,16898,,82,18209,,2000
5,Toronto,41,789567,19257,,41,17172,,82,18215,,2000
6,Minnesota,41,751468,18328,,41,16192,,82,17260,,2000
7,NY Rangers,41,746200,18200,,41,17628,,82,17914,,2000
8,Colorado,41,738287,18007,,41,17370,,82,17688,,2000
9,Buffalo,41,731438,17839,,41,16168,,82,17004,,2000
10,Ottawa,41,729515,17793,,41,16312,,82,17052,,2000
11,San Jose,41,716196,17468,,41,16101,,82,16785,,2000
12,Columbus,41,715738,17457,,41,16002,,82,16729,,2000
13,Vancouver,41,698077,17026,,41,16767,,82,16896,,2000
14,Dallas,41,697041,17001,,41,16348,,82,16674,,2000
15,Calgary,41,681535,16622,,41,16504,,82,16563,,2000
16,Pittsburgh,42,683655,16277,,42,17826,,84,17051,,2000
17,Los Angeles,41,658340,16057,,41,16576,,82,16316,,2000
18,Nashville,42,662226,15767,,42,15642,,84,15704,,2000
19,New Jersey,41,641340,15642,,41,16643,,82,16142,,2000
20,Edmonton,41,640085,15611,,41,16787,,82,16199,,2000
21,Washington,41,636914,15534,,41,16549,,82,16041,,2000
22,Boston,41,632746,15432,,41,16462,,82,15947,,2000
23,Winnipeg,41,625780,15262,,41,15596,,82,15429,,2000
24,Chicago,41,614875,14996,,41,16628,,82,15812,,2000
25,Tampa Bay,41,611173,14906,,41,15612,,82,15259,,2000
26,Florida,41,601857,14679,,41,16260,,82,15469,,2000
27,Arizona,41,583194,14224,,41,16663,,82,15443,,2000
28,Anaheim,41,553470,13499,,41,16645,,82,15072,,2000
29,Carolina,41,547584,13355,,41,15575,,82,14465,,2000
30,NY Islanders,41,464627,11332,,41,16721,,82,14026,,2000
1,Detroit,41,822378,20058,,41,18190,,82,19124,,2001
2,Montreal,41,821140,20027,,41,16623,,82,18325,,2001
3,Philadelphia,41,802337,19569,,41,17359,,82,18464,,2001
4,Toronto,41,790457,19279,,41,17377,,82,18328,,2001
5,St. Louis,41,777695,18968,,41,17099,,82,18033,,2001
6,Dallas,41,759812,18532,,41,16851,,82,17691,,2001
7,Minnesota,41,756686,18455,,41,15879,,82,17167,,2001
8,Columbus,41,743576,18136,,41,16036,,82,17086,,2001
9,NY Rangers,41,739582,18038,,41,17868,,82,17953,,2001
10,Colorado,41,738287,18007,,41,17680,,82,17843,,2001
11,Vancouver,41,726226,17712,,41,16313,,82,17012,,2001
12,San Jose,41,714337,17422,,41,16145,,82,16784,,2001
13,Washington,41,710990,17341,,41,16882,,82,17112,,2001
14,Buffalo,41,705468,17206,,41,16465,,82,16836,,2001
15,Ottawa,41,693684,16919,,41,16202,,82,16560,,2001
16,Los Angeles,41,687002,16756,,41,16777,,82,16766,,2001
17,Edmonton,41,680307,16592,,41,16165,,82,16379,,2001
18,Florida,41,659040,16074,,41,16134,,82,16104,,2001
19,New Jersey,41,652957,15925,,41,17068,,82,16496,,2001
20,Tampa Bay,41,644610,15722,,41,15856,,82,15789,,2001
21,Calgary,41,644466,15718,,41,16230,,82,15974,,2001
22,Pittsburgh,41,641615,15649,,41,16991,,82,16320,,2001
23,Chicago,41,638324,15568,,41,16883,,82,16226,,2001
24,Carolina,41,635868,15508,,41,17096,,82,16302,,2001
25,Boston,41,631546,15403,,41,16979,,82,16191,,2001
26,Nashville,41,606347,14788,,41,16213,,82,15501,,2001
27,NY Islanders,41,596498,14548,,41,17622,,82,16085,,2001
28,Winnipeg,41,560404,13668,,41,16065,,82,14867,,2001
29,Arizona,41,539770,13165,,41,16662,,82,14913,,2001
30,Anaheim,41,492089,12002,,41,17044,,82,14523,,2001
1,Montreal,41,847586,20672,,41,16344,,82,18508,,2002
2,Detroit,41,822378,20058,,41,18109,,82,19083,,2002
3,Philadelphia,41,792333,19325,,41,16492,,82,17908,,2002
4,Toronto,41,788847,19240,,41,17108,,82,18174,,2002
5,St. Louis,41,761388,18570,,41,16227,,82,17398,,2002
6,Dallas,41,759812,18532,,41,16710,,82,17621,,2002
7,Minnesota,41,758536,18500,,41,16436,,82,17468,,2002
8,Vancouver,41,754247,18396,,41,16611,,82,17503,,2002
9,NY Rangers,41,744068,18148,,41,17592,,82,17870,,2002
10,Colorado,41,738287,18007,,41,17240,,82,17623,,2002
11,Columbus,41,727522,17744,,41,16139,,82,16941,,2002
12,Los Angeles,41,720366,17569,,41,16546,,82,17057,,2002
13,San Jose,41,711386,17350,,41,16397,,82,16874,,2002
